,VDM_file,Cage_VDM,VDM_Time,variable,value,VDM_datetime,VDM_timestamp,VDM_date,VDM_day,VDM_time,VDM_hour,VDM_min,VDM_second,ld_seg,VDM_drink,RFID_eventDuration,RFID_assign_id_pre,RFID_assign_var_pre,RFID_datetime_start_pre,RFID_datetime_end_pre,ld_cycle,ld_day,VDM_RFID_timediff,VDM_RFID_timediff_bool
26,c.br.o.g_fm_211213.csv,6,12/13/21 20:42:40,drink_2,0.021,2021-12-13 20:42:40.000000000,1639428160.0,2021-12-13,13,20:42:40,20,42,40,dark_pm,VDM_blueras,0.765,041AC006F3,blue_ras,2021-12-13 20:42:25.501996800,2021-12-13 20:42:26.266996800,dark,2.0,13.733003,diff
27,c.br.o.g_fm_211213.csv,6,12/13/21 20:42:42,drink_2,0.021,2021-12-13 20:42:42.000000000,1639428162.0,2021-12-13,13,20:42:42,20,42,42,dark_pm,VDM_blueras,0.765,041AC006F3,blue_ras,2021-12-13 20:42:25.501996800,2021-12-13 20:42:26.266996800,dark,2.0,15.733003,diff
28,c.br.o.g_fm_211213.csv,5,12/13/21 21:10:32,drink_2,0.042,2021-12-13 21:10:32.000000000,1639429832.0,2021-12-13,13,21:10:32,21,10,32,dark_pm,VDM_blueras,7.393,041ABFF7C1,blue_ras,2021-12-13 21:10:25.232995200,2021-12-13 21:10:32.625995200,dark,2.0,0.0,same
29,c.br.o.g_fm_211213.csv,5,12/13/21 21:12:47,drink_2,0.042,2021-12-13 21:12:47.000000000,1639429967.0,2021-12-13,13,21:12:47,21,12,47,dark_pm,VDM_blueras,0.572,041ABFF7C1,blue_ras,2021-12-13 21:12:45.065001600,2021-12-13 21:12:45.637001600,dark,2.0,1.362998,diff
30,c.br.o.g_fm_211213.csv,5,12/13/21 21:17:24,drink_2,0.042,2021-12-13 21:17:24.000000000,1639430244.0,2021-12-13,13,21:17:24,21,17,24,dark_pm,VDM_blueras,4.844,041AC00422,blue_ras,2021-12-13 21:17:19.275964800,2021-12-13 21:17:24.119964800,dark,2.0,0.0,same
31,c.br.o.g_fm_211213.csv,5,12/13/21 21:22:06,drink_2,0.042,2021-12-13 21:22:06.000000000,1639430526.0,2021-12-13,13,21:22:06,21,22,6,dark_pm,VDM_blueras,19.38,041AC00EFA,blue_ras,2021-12-13 21:21:48.308976000,2021-12-13 21:22:07.688976000,dark,2.0,0.0,same
32,c.br.o.g_fm_211213.csv,5,12/13/21 21:23:16,drink_2,0.042,2021-12-13 21:23:16.000000000,1639430596.0,2021-12-13,13,21:23:16,21,23,16,dark_pm,VDM_blueras,12.567,041AC00422,blue_ras,2021-12-13 21:23:10.832035200,2021-12-13 21:23:23.399035200,dark,2.0,0.0,same
33,c.br.o.g_fm_211213.csv,8,12/13/21 21:23:35,drink_2,0.021,2021-12-13 21:23:35.000000000,1639430615.0,2021-12-13,13,21:23:35,21,23,35,dark_pm,VDM_blueras,6.444,041AC03A4B,blue_ras,2021-12-13 21:23:25.498953600,2021-12-13 21:23:31.942953600,dark,2.0,3.057046,diff
34,c.br.o.g_fm_211213.csv,8,12/13/21 21:33:11,drink_2,0.021,2021-12-13 21:33:11.000000000,1639431191.0,2021-12-13,13,21:33:11,21,33,11,dark_pm,VDM_blueras,8.06,041AC03A4B,blue_ras,2021-12-13 21:33:08.553024000,2021-12-13 21:33:16.613024000,dark,2.0,0.0,same
35,c.br.o.g_fm_211213.csv,8,12/13/21 21:33:21,drink_2,0.021,2021-12-13 21:33:21.000000000,1639431201.0,2021-12-13,13,21:33:21,21,33,21,dark_pm,VDM_blueras,5.8709999999999996,041AC03A4B,blue_ras,2021-12-13 21:33:18.489974400,2021-12-13 21:33:24.360974400,dark,2.0,0.0,same
36,c.br.o.g_fm_211213.csv,6,12/13/21 21:52:45,drink_2,0.021,2021-12-13 21:52:45.000000000,1639432365.0,2021-12-13,13,21:52:45,21,52,45,dark_pm,VDM_blueras,0.075,041AC033A1,blue_ras,2021-12-13 21:52:42.814041600,2021-12-13 21:52:42.889041600,dark,2.0,2.110958,diff
37,c.br.o.g_fm_211213.csv,6,12/13/21 21:52:46,drink_2,0.021,2021-12-13 21:52:46.000000000,1639432366.0,2021-12-13,13,21:52:46,21,52,46,dark_pm,VDM_blueras,0.075,041AC033A1,blue_ras,2021-12-13 21:52:42.814041600,2021-12-13 21:52:42.889041600,dark,2.0,3.110958,diff
38,c.br.o.g_fm_211213.csv,5,12/13/21 21:58:43,drink_2,0.042,2021-12-13 21:58:43.000000000,1639432723.0,2021-12-13,13,21:58:43,21,58,43,dark_pm,VDM_blueras,2.65,041AC00EFA,blue_ras,2021-12-13 21:58:40.131004800,2021-12-13 21:58:42.781004800,dark,2.0,0.218995,diff
39,c.br.o.g_fm_211213.csv,6,12/13/21 22:17:57,drink_2,0.042,2021-12-13 22:17:57.000000000,1639433877.0,2021-12-13,13,22:17:57,22,17,57,dark_pm,VDM_blueras,0.075,041AC006F3,blue_ras,2021-12-13 22:17:52.776038400,2021-12-13 22:17:52.851038400,dark,2.0,4.148961,diff
40,c.br.o.g_fm_211213.csv,5,12/13/21 22:22:50,drink_2,0.042,2021-12-13 22:22:50.000000000,1639434170.0,2021-12-13,13,22:22:50,22,22,50,dark_pm,VDM_blueras,9.058,041AC00EFA,blue_ras,2021-12-13 22:22:48.618019200,2021-12-13 22:22:57.676019200,dark,2.0,0.0,same
41,c.br.o.g_fm_211213.csv,5,12/13/21 22:22:53,drink_2,0.042,2021-12-13 22:22:53.000000000,1639434173.0,2021-12-13,13,22:22:53,22,22,53,dark_pm,VDM_blueras,9.058,041AC00EFA,blue_ras,2021-12-13 22:22:48.618019200,2021-12-13 22:22:57.676019200,dark,2.0,0.0,same
42,c.br.o.g_fm_211213.csv,5,12/13/21 22:22:58,drink_2,0.021,2021-12-13 22:22:58.000000000,1639434178.0,2021-12-13,13,22:22:58,22,22,58,dark_pm,VDM_blueras,9.058,041AC00EFA,blue_ras,2021-12-13 22:22:48.618019200,2021-12-13 22:22:57.676019200,dark,2.0,0.32398,diff
43,c.br.o.g_fm_211213.csv,6,12/13/21 22:31:42,drink_2,0.042,2021-12-13 22:31:42.000000000,1639434702.0,2021-12-13,13,22:31:42,22,31,42,dark_pm,VDM_blueras,0.273,041AC006F3,blue_ras,2021-12-13 22:31:13.572969600,2021-12-13 22:31:13.845969600,dark,2.0,28.15403,diff
44,c.br.o.g_fm_211213.csv,6,12/13/21 22:34:29,drink_2,0.021,2021-12-13 22:34:29.000000000,1639434869.0,2021-12-13,13,22:34:29,22,34,29,dark_pm,VDM_blueras,4.483,041AC006F3,blue_ras,2021-12-13 22:34:25.072003200,2021-12-13 22:34:29.555003200,dark,2.0,0.0,same
45,c.br.o.g_fm_211213.csv,6,12/13/21 22:34:30,drink_2,0.042,2021-12-13 22:34:30.000000000,1639434870.0,2021-12-13,13,22:34:30,22,34,30,dark_pm,VDM_blueras,4.483,041AC006F3,blue_ras,2021-12-13 22:34:25.072003200,2021-12-13 22:34:29.555003200,dark,2.0,0.444996,diff
46,c.br.o.g_fm_211213.csv,5,12/13/21 22:40:51,drink_2,0.021,2021-12-13 22:40:51.000000000,1639435251.0,2021-12-13,13,22:40:51,22,40,51,dark_pm,VDM_blueras,7.305,041AC00EFA,blue_ras,2021-12-13 22:40:42.897043200,2021-12-13 22:40:50.202043200,dark,2.0,0.797956,diff
